PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
65,0,2,"Davis, Miss. Alice",female,39.0,1,0,A/9327,48.58,A45,C
66,0,3,"Taylor, Mr. George",male,21.6,1,2,A/9022,22.57,,S
67,0,2,"Davis, Miss. Alice",female,68.7,0,2,A/7274,25.51,,S
68,0,3,"Davis, Miss. Ida",female,46.0,0,1,A/1606,9.27,,S
69,1,1,"Johnson, Miss. Alice",female,,2,0,A/2225,177.98,C53,S
70,0,2,"Miller, Mr. Joseph",male,62.2,1,2,A/1588,42.79,,S
71,0,2,"Johnson, Mr. Joseph",male,49.6,0,1,A/3725,46.23,,S
72,1,3,"Miller, Mr. Joseph",male,40.0,0,0,A/3868,8.42,,S
73,1,2,"Williams, Miss. Elizabeth",female,18.6,0,1,A/5712,45.49,,S
74,0,2,"Davis, Mr. George",male,70.0,1,0,A/4886,32.16,,S
75,1,3,"Davis, Mr. George",male,54.7,0,2,A/9138,21.99,,C
76,1,1,"Brown, Miss. Elizabeth",female,50.7,2,0,A/2591,277.78,A49,C
77,0,1,"Williams, Mr. William",male,29.7,0,0,A/9837,271.59,C77,S
78,0,2,"Wilson, Mr. George",male,8.9,0,0,A/4696,53.71,,Q
79,0,3,"Miller, Miss. Anna",female,,1,0,A/8451,13.63,,S
80,0,2,"Miller, Mr. William",male,43.7,1,0,A/4626,44.14,,S
81,1,3,"Johnson, Mr. James",male,,1,0,A/2592,11.23,,S
82,1,2,"Taylor, Miss. Ida",female,62.1,2,0,A/9017,42.7,,S
83,0,3,"Wilson, Mr. Charles",male,,2,0,A/9920,23.23,,S
84,1,2,"Wilson, Miss. Anna",female,42.2,0,0,A/6464,25.96,E36,S
85,0,3,"Brown, Mr. Charles",male,,1,0,A/5542,22.45,B79,S
86,1,1,"Smith, Miss. Emma",female,17.4,0,0,A/3854,131.03,B63,S
87,0,3,"Miller, Mr. William",male,43.4,2,2,A/5941,15.24,,S
88,0,3,"Johnson, Mr. Thomas",male,63.0,0,2,A/3430,8.18,,S
89,0,3,"Anderson, Mr. George",male,7.8,2,0,A/4522,14.74,,S
90,0,3,"Johnson, Mr. Frank",male,26.8,0,1,A/2099,8.64,D22,C
91,0,2,"Smith, Mr. Frank",male,61.3,1,0,A/5712,42.02,,S
92,1,1,"Brown, Miss. Anna",female,8.9,0,2,A/4705,255.66,E89,S
93,0,3,"Jones, Mr. John",male,22.3,0,0,A/1100,10.27,D18,S
94,0,3,"Taylor, Mr. Charles",male,11.9,0,0,A/2391,22.9,,C
95,0,1,"Wilson, Mr. Joseph",male,19.8,1,0,A/6655,168.88,C96,S
96,1,3,"Smith, Miss. Elizabeth",female,1.5,0,0,A/3248,20.75,,S
97,0,3,"Williams, Mr. Joseph",male,39.6,2,0,A/2180,14.15,,S
98,0,3,"Miller, Mr. Joseph",male,29.8,0,1,A/1341,24.39,,Q
99,1,3,"Miller, Miss. Anna",female,,1,2,A/7560,16.43,,S
100,0,2,"Williams, Mr. William",male,,1,0,A/6724,30.8,,S
101,1,1,"Jones, Mr. Charles",male,,2,0,A/3902,288.8,D69,C
102,0,3,"Anderson, Mr. Frank",male,11.4,0,1,A/8245,18.36,,S
103,1,2,"Wilson, Mr. Thomas",male,20.8,2,0,A/9307,32.3,,Q
104,0,3,"Anderson, Mr. Charles",male,11.4,0,1,A/2695,21.6,,Q
105,0,1,"Smith, Mr. Charles",male,37.2,1,0,A/6962,155.76,C59,S
106,0,2,"Miller, Mr. William",male,27.7,0,2,A/3463,30.0,,S
107,1,2,"Davis, Miss. Emma",female,22.4,1,0,A/3093,45.16,,C
108,1,3,"Davis, Mr. Frank",male,66.6,0,1,A/4145,11.08,A47,C
109,1,1,"Taylor, Miss. Mary",female,43.6,1,1,A/3527,107.32,E31,C
110,0,1,"Brown, Mr. Thomas",male,55.1,0,2,A/4918,141.18,D34,S
111,0,3,"Wilson, Miss. Minnie",female,29.9,0,0,A/3267,22.71,D57,S
112,1,1,"Johnson, Miss. Minnie",female,,1,2,A/3414,261.14,A38,C
113,1,3,"Davis, Miss. Mary",female,27.6,0,0,A/4678,7.51,,C
114,1,3,"Williams, Miss. Mary",female,49.0,0,1,A/8349,18.08,,S
115,1,1,"Anderson, Mr. Joseph",male,21.8,0,0,A/7878,216.96,E68,S
116,0,3,"Taylor, Mr. John",male,50.6,0,1,A/1025,18.07,,S
117,0,3,"Miller, Mr. William",male,55.3,1,2,A/1333,14.03,,S
118,0,3,"Smith, Mr. Frank",male,51.6,2,0,A/6447,9.4,,S
119,1,3,"Wilson, Miss. Alice",female,5.4,1,0,A/5807,10.63,,C
120,0,2,"Davis, Mr. Thomas",male,14.2,0,0,A/6438,27.29,,S
121,0,2,"Davis, Mr. Frank",male,35.3,1,0,A/2353,47.72,E33,S
122,0,2,"Jones, Mr. George",male,12.5,1,0,A/8325,16.91,,S
123,0,3,"Smith, Mr. William",male,36.4,2,0,A/1510,9.57,,C
124,0,1,"Miller, Mr. Frank",male,42.8,2,1,A/7077,155.56,A83,S
125,0,2,"Jones, Mr. Charles",male,,0,1,A/9482,32.41,,S
126,0,2,"Anderson, Mr. George",male,14.8,0,0,A/8406,22.77,,Q
127,0,3,"Miller, Miss. Margaret",female,21.0,0,0,A/3852,21.29,,S
128,0,1,"Wilson, Mr. John",male,33.3,1,0,A/2412,85.12,D71,S
129,0,3,"Johnson, Miss. Emma",female,32.0,2,2,A/6644,9.31,,S
130,1,3,"Williams, Miss. Ida",female,58.4,1,0,A/5982,9.96,,C
131,1,2,"Jones, Miss. Anna",female,39.0,0,0,A/9740,19.2,,S
132,0,3,"Anderson, Mr. Frank",male,57.9,0,0,A/1744,24.07,,S
133,0,1,"Anderson, Mr. John",male,21.0,0,1,A/5012,255.08,D48,S
134,0,3,"Davis, Mr. Thomas",male,10.9,2,0,A/6658,24.56,C75,S
135,0,2,"Jones, Mr. Thomas",male,,0,1,A/7850,26.17,,S
136,0,2,"Miller, Mr. Charles",male,36.5,1,0,A/9148,16.04,,S
137,1,3,"Miller, Mr. John",male,61.9,2,1,A/5681,16.66,,S
138,1,3,"Davis, Miss. Margaret",female,,1,0,A/6939,16.96,E67,C
139,1,2,"Anderson, Miss. Anna",female,,0,0,A/6990,48.97,,S
140,0,3,"Williams, Mr. Frank",male,11.3,1,0,A/6373,23.76,,S
141,1,3,"Anderson, Miss. Margaret",female,34.8,1,0,A/8780,21.68,,S
142,0,3,"Smith, Mr. Thomas",male,68.1,1,2,A/4728,19.99,,S
143,0,3,"Davis, Mr. James",male,40.5,2,0,A/4125,7.34,,S
144,0,3,"Anderson, Mr. Thomas",male,5.3,0,2,A/4397,17.1,,S
145,1,2,"Wilson, Miss. Margaret",female,60.9,2,0,A/8932,23.65,,S
146,1,1,"Jones, Miss. Minnie",female,34.7,1,0,A/5480,136.19,E96,S
147,0,3,"Miller, Mr. James",male,50.3,0,1,A/5201,20.45,,C
148,1,2,"Jones, Mr. James",male,17.5,0,2,A/4697,43.71,D52,C
149,1,1,"Smith, Miss. Emma",female,61.6,1,0,A/5706,143.87,A21,S
150,1,1,"Smith, Miss. Emma",female,65.4,0,1,A/9116,112.85,C14,S
151,0,3,"Miller, Mr. George",male,37.2,0,2,A/8668,11.91,,S
152,0,3,"Williams, Mr. John",male,40.2,0,0,A/7643,21.89,,S
153,0,3,"Williams, Mr. Thomas",male,19.0,0,1,A/5374,24.17,,C
154,1,1,"Brown, Miss. Mary",female,12.0,2,2,A/6095,228.77,C57,S
155,0,1,"Williams, Mr. Thomas",male,29.7,1,1,A/9806,254.46,B41,S
156,1,3,"Taylor, Miss. Alice",female,64.3,0,0,A/9972,23.25,,S
157,1,1,"Wilson, Miss. Anna",female,34.7,1,1,A/1911,174.29,E63,S
158,0,1,"Jones, Mr. John",male,52.5,1,0,A/1742,167.45,A79,Q
159,0,3,"Wilson, Mr. John",male,,0,1,A/7135,24.87,,C
160,0,3,"Taylor, Mr. James",male,13.3,1,1,A/9664,9.29,,C
161,1,3,"Wilson, Miss. Ida",female,18.1,0,0,A/5516,10.39,,C
162,1,1,"Anderson, Miss. Mary",female,,1,0,A/8314,207.49,A41,C
163,1,2,"Brown, Mr. John",male,17.2,2,2,A/6224,40.99,,C
164,1,1,"Taylor, Miss. Elizabeth",female,39.4,1,0,A/7999,197.85,A54,Q
165,1,3,"Miller, Miss. Ida",female,13.7,1,1,A/4948,22.29,,C
166,0,3,"Taylor, Miss. Ida",female,10.3,0,0,A/4331,12.94,D57,S
167,0,3,"Jones, Mr. Joseph",male,61.3,0,2,A/4555,15.63,,S
168,0,3,"Brown, Mr. William",male,64.1,2,2,A/4350,14.14,,S
169,0,2,"Miller, Mr. George",male,35.3,0,1,A/6246,56.14,,S
170,0,3,"Williams, Mr. John",male,41.0,1,0,A/3497,10.53,,S
171,0,2,"Miller, Mr. George",male,50.9,2,1,A/8550,22.57,,S
172,0,3,"Taylor, Mr. John",male,6.1,2,0,A/1104,14.42,,S
173,0,3,"Taylor, Mr. Thomas",male,47.0,1,1,A/8993,7.28,,S
174,1,1,"Taylor, Miss. Minnie",female,47.5,0,0,A/2578,190.61,B34,S
175,0,2,"Davis, Mr. William",male,40.0,2,0,A/5914,45.78,,S
176,1,3,"Johnson, Miss. Ida",female,4.9,0,0,A/2354,16.0,,C
177,1,3,"Johnson, Miss. Mary",female,48.8,1,1,A/5441,7.84,C79,S
178,0,1,"Miller, Miss. Mary",female,52.9,2,1,A/2260,138.83,E40,S
179,1,3,"Taylor, Miss. Margaret",female,55.5,2,0,A/9204,20.42,,S
180,0,1,"Anderson, Mr. Joseph",male,44.8,1,1,A/4737,151.84,D65,S
181,0,3,"Anderson, Mr. George",male,6.7,0,1,A/3527,20.31,,S
182,1,1,"Miller, Mr. George",male,,1,1,A/9395,163.85,A21,S
183,1,1,"Miller, Mr. Joseph",male,54.8,2,2,A/4977,201.55,B97,S
184,1,1,"Wilson, Mr. James",male,30.1,1,0,A/6916,127.89,B90,S
185,1,3,"Williams, Mr. George",male,59.1,1,0,A/8212,13.03,,C
186,0,3,"Miller, Mr. Charles",male,,1,0,A/5775,20.23,,Q
187,0,3,"Jones, Mr. Joseph",male,14.8,1,0,A/1440,24.15,,C
188,0,2,"Johnson, Mr. Joseph",male,,0,0,A/5139,44.64,,C
189,1,1,"Wilson, Miss. Ida",female,61.0,1,2,A/1602,251.87,C99,C
190,0,3,"Johnson, Mr. William",male,25.5,2,2,A/1725,17.14,,S
191,1,3,"Davis, Mr. William",male,36.2,1,2,A/4621,15.02,,C
192,0,3,"Miller, Mr. John",male,64.5,0,0,A/3321,13.27,,C
193,0,3,"Johnson, Mr. Thomas",male,5.6,0,0,A/1370,22.29,,S
194,1,1,"Brown, Miss. Emma",female,30.4,1,0,A/7636,214.84,B91,S
195,1,2,"Brown, Miss. Alice",female,49.6,0,0,A/2025,40.98,,S
196,0,2,"Johnson, Mr. George",male,67.6,0,2,A/7367,42.51,,S
197,0,3,"Jones, Mr. William",male,17.5,0,0,A/7116,19.48,,S
198,0,1,"Williams, Mr. Thomas",male,45.5,0,2,A/3733,182.62,B33,S
199,0,3,"Miller, Mr. John",male,,1,2,A/9281,18.76,,S
200,0,3,"Williams, Mr. William",male,16.2,0,0,A/4683,16.68,,S
201,1,3,"Taylor, Miss. Anna",female,38.5,0,2,A/1681,20.68,,S
202,0,2,"Brown, Miss. Minnie",female,,0,0,A/2425,34.76,,C
203,1,1,"Anderson, Miss. Margaret",female,30.5,1,0,A/4385,257.11,A82,S
204,0,2,"Miller, Mr. George",male,60.2,2,0,A/3221,58.32,,Q
205,1,3,"Williams, Miss. Emma",female,58.2,2,1,A/9019,9.56,,S
206,0,2,"Johnson, Mr. Joseph",male,65.6,0,1,A/8996,29.73,A68,S
207,1,3,"Taylor, Miss. Ida",female,15.6,0,0,A/5646,13.08,,S
208,1,3,"Smith, Mr. John",male,32.7,0,0,A/8230,15.22,,S
209,0,3,"Jones, Miss. Emma",female,7.4,0,0,A/2350,13.69,,S
210,0,2,"Brown, Mr. Joseph",male,1.1,1,0,A/3174,41.72,,S
211,0,1,"Johnson, Mr. Joseph",male,16.8,0,0,A/2690,142.07,C27,S
212,1,3,"Williams, Miss. Anna",female,,2,0,A/8210,13.32,,C
213,1,3,"Wilson, Mr. Charles",male,,0,2,A/7291,13.33,,C
214,0,2,"Brown, Mr. George",male,59.5,2,0,A/4366,38.3,,C
215,0,2,"Brown, Mr. Thomas",male,45.0,0,2,A/1197,59.41,,S
216,0,3,"Miller, Mr. James",male,54.2,0,2,A/2106,7.25,,Q
217,0,3,"Jones, Mr. Joseph",male,45.2,1,2,A/3501,11.99,,S
218,1,1,"Taylor, Miss. Margaret",female,58.6,2,0,A/6081,230.7,B17,S
219,0,3,"Anderson, Mr. John",male,52.1,0,0,A/3248,19.63,,Q
220,1,3,"Jones, Miss. Emma",female,61.3,2,0,A/1480,13.03,,S
221,1,2,"Johnson, Miss. Alice",female,35.5,1,0,A/7024,22.08,,C
222,1,3,"Taylor, Mr. John",male,17.9,1,0,A/7274,23.56,,Q
223,1,1,"Davis, Miss. Elizabeth",female,50.7,0,0,A/7108,97.46,A32,S
224,0,3,"Davis, Mr. William",male,54.4,0,0,A/2415,16.96,B47,S
225,0,2,"Wilson, Mr. Frank",male,54.3,0,2,A/5016,21.78,,S
226,1,3,"Smith, Mr. Frank",male,59.6,2,0,A/2703,10.69,,S
227,1,3,"Williams, Miss. Minnie",female,62.9,1,1,A/7102,15.25,,S
228,0,3,"Davis, Mr. William",male,,2,0,A/4879,12.25,,Q
229,1,2,"Miller, Miss. Margaret",female,66.1,0,2,A/2785,21.99,,S
230,0,2,"Brown, Mr. Thomas",male,9.3,0,0,A/1660,24.68,,S
231,1,3,"Davis, Miss. Mary",female,69.4,0,1,A/8408,17.01,,S
232,1,1,"Johnson, Miss. Mary",female,16.3,0,1,A/7098,227.85,A84,S
233,0,3,"Johnson, Mr. Charles",male,9.9,0,0,A/1699,23.96,E65,C
234,0,2,"Davis, Mr. James",male,20.0,1,0,A/1567,42.63,,S
235,1,3,"Wilson, Miss. Mary",female,29.9,2,2,A/5082,18.35,,C
236,1,3,"Miller, Miss. Alice",female,64.0,1,0,A/7363,11.87,E38,S
237,0,3,"Wilson, Mr. Frank",male,68.2,0,0,A/4951,11.8,,Q
238,1,1,"Brown, Miss. Ida",female,59.3,0,0,A/6210,255.43,C85,S
239,1,3,"Anderson, Miss. Emma",female,,1,2,A/6063,10.16,A39,S
240,0,1,"Miller, Mr. Charles",male,13.2,0,0,A/1359,103.97,B24,C
241,1,3,"Miller, Miss. Ida",female,23.3,0,1,A/8982,18.69,,Q
242,1,3,"Miller, Miss. Elizabeth",female,27.1,2,0,A/3086,10.2,E60,C
243,0,3,"Williams, Mr. Frank",male,16.2,1,0,A/9129,9.53,,S
244,0,3,"Johnson, Mr. Frank",male,18.2,0,0,A/5205,21.17,,S
245,0,2,"Williams, Mr. Joseph",male,38.7,0,1,A/4695,22.32,A47,S
246,0,2,"Miller, Mr. James",male,,0,2,A/2525,30.21,,C
247,0,3,"Williams, Mr. Joseph",male,,0,0,A/7705,19.55,,C
248,1,2,"Brown, Mr. William",male,58.9,0,0,A/6911,15.17,E71,S
249,0,1,"Jones, Mr. William",male,,1,1,A/9013,275.82,C21,S
250,0,2,"Davis, Mr. Frank",male,,1,1,A/5315,25.18,,S
251,0,3,"Johnson, Miss. Margaret",female,53.2,0,2,A/1999,22.13,,S
252,1,3,"Wilson, Miss. Elizabeth",female,,2,0,A/9226,17.28,,S
253,0,3,"Wilson, Mr. James",male,,0,0,A/3067,7.77,D35,Q
254,0,3,"Jones, Miss. Margaret",female,5.6,1,2,A/7510,16.94,,S
255,1,3,"Anderson, Mr. Joseph",male,,1,2,A/2641,23.65,,S
256,0,2,"Miller, Mr. Joseph",male,40.5,1,0,A/3821,27.39,E97,S
257,1,1,"Miller, Miss. Elizabeth",female,19.5,0,0,A/6535,258.0,C49,S
258,1,3,"Johnson, Miss. Elizabeth",female,31.6,0,0,A/7828,17.89,D37,Q
259,0,2,"Taylor, Mr. Frank",male,12.0,0,2,A/7609,21.1,,C
260,1,1,"Brown, Mr. John",male,64.3,2,0,A/5488,154.72,D74,S
261,1,3,"Brown, Miss. Margaret",female,67.3,1,2,A/6730,13.2,,S
262,1,3,"Smith, Mr. Joseph",male,54.8,0,0,A/4688,19.2,,S
263,1,1,"Smith, Miss. Alice",female,42.5,0,0,A/5135,209.92,C92,S
264,1,3,"Wilson, Miss. Minnie",female,36.9,1,1,A/2676,7.13,,Q
265,0,3,"Anderson, Mr. George",male,,0,0,A/5529,18.53,,S
266,1,3,"Jones, Miss. Elizabeth",female,63.1,1,1,A/6236,19.25,,S
267,0,3,"Davis, Mr. Joseph",male,,2,2,A/4111,13.18,,S
268,0,3,"Miller, Mr. George",male,61.5,0,0,A/2599,15.47,,C
269,1,3,"Miller, Miss. Anna",female,61.1,1,0,A/7089,11.69,,C
270,1,3,"Anderson, Miss. Anna",female,,0,1,A/9680,12.37,B27,Q
271,1,2,"Wilson, Miss. Emma",female,54.7,1,0,A/3897,29.1,D45,S
272,0,3,"Williams, Mr. Thomas",male,9.9,1,1,A/7609,14.72,,S
273,0,3,"Smith, Miss. Margaret",female,2.2,0,0,A/4707,19.48,,S
274,0,2,"Williams, Mr. William",male,21.1,2,2,A/9587,30.2,,Q
275,1,2,"Miller, Miss. Elizabeth",female,57.0,0,0,A/4675,47.72,A85,S
276,1,1,"Smith, Miss. Ida",female,37.9,0,2,A/1785,222.25,A16,S
277,0,2,"Taylor, Mr. George",male,,2,0,A/5933,33.94,E44,S
278,0,3,"Johnson, Mr. William",male,35.3,1,0,A/5308,21.97,,S
279,0,2,"Taylor, Mr. Thomas",male,34.2,0,0,A/1208,45.22,,C
280,0,3,"Johnson, Mr. William",male,,0,0,A/8483,24.8,,S
281,0,1,"Smith, Mr. George",male,30.4,0,0,A/1751,72.22,B94,S
282,0,2,"Anderson, Miss. Minnie",female,,0,0,A/2865,33.03,,S
283,1,2,"Davis, Miss. Emma",female,5.0,0,0,A/7816,56.01,,S
284,0,2,"Miller, Mr. John",male,51.2,0,1,A/8997,20.08,,S
285,0,2,"Taylor, Mr. Charles",male,24.3,1,2,A/2560,34.48,,S
286,1,3,"Williams, Mr. John",male,35.9,1,1,A/3709,8.35,,S
287,0,3,"Brown, Mr. Joseph",male,32.7,1,1,A/2442,22.42,,S
288,1,3,"Johnson, Miss. Ida",female,1.0,0,2,A/5990,23.02,,S
289,0,3,"Smith, Mr. Charles",male,54.0,1,1,A/6952,19.89,B10,S
290,0,3,"Jones, Miss. Margaret",female,,0,1,A/3301,21.79,,S
291,0,2,"Johnson, Mr. Joseph",male,14.1,0,0,A/7790,17.09,,S
292,0,1,"Wilson, Miss. Emma",female,,2,0,A/8091,262.93,D75,C
293,1,3,"Williams, Miss. Emma",female,42.8,0,2,A/7302,14.54,,S
294,0,2,"Miller, Mr. George",male,,1,2,A/9393,28.45,,C
295,1,3,"Brown, Miss. Elizabeth",female,48.4,2,0,A/3913,16.07,,S
296,0,1,"Wilson, Mr. Joseph",male,37.8,1,0,A/9564,94.49,D28,S
297,0,1,"Williams, Mr. George",male,,0,0,A/4342,243.33,A55,C
298,1,1,"Taylor, Miss. Elizabeth",female,17.4,2,0,A/1769,283.09,D63,Q
299,1,3,"Taylor, Mr. John",male,43.8,1,0,A/7025,20.59,,S
300,1,3,"Jones, Miss. Alice",female,13.9,0,2,A/2955,13.79,,S
301,1,1,"Jones, Mr. John",male,11.7,0,0,A/1833,247.94,E94,S
302,0,3,"Johnson, Mr. Frank",male,36.9,1,0,A/7814,16.78,,S
303,1,3,"Miller, Miss. Margaret",female,43.7,1,2,A/1144,9.06,,S
304,1,3,"Brown, Miss. Mary",female,64.2,0,1,A/5203,16.72,,Q
305,0,3,"Taylor, Mr. Thomas",male,46.0,0,2,A/2349,24.07,,Q
306,0,3,"Johnson, Mr. Charles",male,60.7,1,0,A/4368,16.68,,Q
307,1,3,"Johnson, Mr. James",male,3.6,0,0,A/3916,21.3,,S
308,0,1,"Davis, Mr. Thomas",male,2.2,2,0,A/9762,71.36,E18,C
309,0,3,"Johnson, Miss. Margaret",female,,2,0,A/2417,12.07,,S
310,1,3,"Williams, Mr. Charles",male,56.0,1,0,A/3360,12.37,,Q
311,1,3,"Smith, Mr. James",male,,1,1,A/9800,16.86,B54,S
312,1,3,"Williams, Miss. Emma",female,18.4,0,0,A/1891,22.32,,Q
313,0,3,"Jones, Mr. William",male,,1,1,A/6420,13.43,,S
314,0,2,"Brown, Mr. Frank",male,46.5,2,2,A/3496,40.45,,S
315,0,2,"Brown, Mr. Charles",male,20.1,0,0,A/6432,54.5,,S
316,0,2,"Williams, Mr. William",male,10.7,1,0,A/5312,48.01,,C
317,0,3,"Smith, Miss. Ida",female,3.5,0,2,A/9842,15.5,,S
318,1,1,"Jones, Miss. Emma",female,28.4,1,0,A/4913,265.04,E97,S
319,0,3,"Williams, Mr. James",male,25.8,0,1,A/4796,8.13,,S
320,1,1,"Miller, Miss. Ida",female,4.2,2,0,A/2691,231.86,E91,C
321,0,3,"Taylor, Mr. James",male,41.5,0,2,A/5121,13.77,,S
322,0,2,"Wilson, Miss. Alice",female,,0,1,A/3713,25.35,,S
323,0,1,"Anderson, Mr. William",male,23.8,0,1,A/8844,180.17,E30,S
324,1,2,"Williams, Mr. James",male,62.5,0,0,A/3725,26.62,,Q
325,0,3,"Smith, Mr. George",male,42.9,1,1,A/3794,10.95,,S
326,1,3,"Anderson, Miss. Minnie",female,64.6,1,2,A/2127,11.14,,S
327,1,1,"Taylor, Miss. Ida",female,13.2,1,2,A/1639,271.88,E74,C
328,1,1,"Anderson, Miss. Mary",female,45.8,1,1,A/7068,271.21,E64,S
329,1,3,"Davis, Miss. Margaret",female,53.5,2,2,A/2600,14.66,,C
330,0,3,"Anderson, Mr. Joseph",male,,2,0,A/9561,9.12,B98,C
331,0,2,"Davis, Mr. George",male,40.0,1,0,A/7511,48.97,,C
332,0,3,"Taylor, Mr. Thomas",male,24.8,2,1,A/3262,22.39,,C
333,1,2,"Williams, Miss. Anna",female,24.4,1,2,A/1852,22.23,,S
334,1,1,"Anderson, Mr. Joseph",male,26.6,1,0,A/7296,284.06,D88,S
335,1,2,"Smith, Miss. Emma",female,14.9,2,2,A/5685,23.76,,S
336,0,3,"Smith, Mr. Frank",male,,0,0,A/5520,21.03,,S
