PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Has_Cabin,FamilySize
115,1,1,"Anderson, Mr. Joseph",male,21.8,0,0,A/7878,216.96,E68,S,1,1
116,0,3,"Taylor, Mr. John",male,50.6,0,1,A/1025,18.07,,S,0,2
117,0,3,"Miller, Mr. William",male,55.3,1,2,A/1333,14.03,,S,0,4
118,0,3,"Smith, Mr. Frank",male,51.6,2,0,A/6447,9.4,,S,0,3
119,1,3,"Wilson, Miss. Alice",female,5.4,1,0,A/5807,10.63,,C,0,2
120,0,2,"Davis, Mr. Thomas",male,14.2,0,0,A/6438,27.29,,S,0,1
121,0,2,"Davis, Mr. Frank",male,35.3,1,0,A/2353,47.72,E33,S,1,2
122,0,2,"Jones, Mr. George",male,12.5,1,0,A/8325,16.91,,S,0,2
123,0,3,"Smith, Mr. William",male,36.4,2,0,A/1510,9.57,,C,0,3
124,0,1,"Miller, Mr. Frank",male,42.8,2,1,A/7077,155.56,A83,S,1,4
125,0,2,"Jones, Mr. Charles",male,34.2,0,1,A/9482,32.41,,S,0,2
126,0,2,"Anderson, Mr. George",male,14.8,0,0,A/8406,22.77,,Q,0,1
127,0,3,"Miller, Miss. Margaret",female,21.0,0,0,A/3852,21.29,,S,0,1
128,0,1,"Wilson, Mr. John",male,33.3,1,0,A/2412,85.12,D71,S,1,2
129,0,3,"Johnson, Miss. Emma",female,32.0,2,2,A/6644,9.31,,S,0,5
130,1,3,"Williams, Miss. Ida",female,58.4,1,0,A/5982,9.96,,C,0,2
131,1,2,"Jones, Miss. Anna",female,39.0,0,0,A/9740,19.2,,S,0,1
132,0,3,"Anderson, Mr. Frank",male,57.9,0,0,A/1744,24.07,,S,0,1
133,0,1,"Anderson, Mr. John",male,21.0,0,1,A/5012,255.08,D48,S,1,2
134,0,3,"Davis, Mr. Thomas",male,10.9,2,0,A/6658,24.56,C75,S,1,3
135,0,2,"Jones, Mr. Thomas",male,34.2,0,1,A/7850,26.17,,S,0,2
136,0,2,"Miller, Mr. Charles",male,36.5,1,0,A/9148,16.04,,S,0,2
137,1,3,"Miller, Mr. John",male,61.9,2,1,A/5681,16.66,,S,0,4
138,1,3,"Davis, Miss. Margaret",female,37.1,1,0,A/6939,16.96,E67,C,1,2
139,1,2,"Anderson, Miss. Anna",female,43.45,0,0,A/6990,48.97,,S,0,1
140,0,3,"Williams, Mr. Frank",male,11.3,1,0,A/6373,23.76,,S,0,2
141,1,3,"Anderson, Miss. Margaret",female,34.8,1,0,A/8780,21.68,,S,0,2
142,0,3,"Smith, Mr. Thomas",male,68.1,1,2,A/4728,19.99,,S,0,4
143,0,3,"Davis, Mr. James",male,40.5,2,0,A/4125,7.34,,S,0,3
144,0,3,"Anderson, Mr. Thomas",male,5.3,0,2,A/4397,17.1,,S,0,3
145,1,2,"Wilson, Miss. Margaret",female,60.9,2,0,A/8932,23.65,,S,0,3
146,1,1,"Jones, Miss. Minnie",female,34.7,1,0,A/5480,136.19,E96,S,1,2
147,0,3,"Miller, Mr. James",male,50.3,0,1,A/5201,20.45,,C,0,2
148,1,2,"Jones, Mr. James",male,17.5,0,2,A/4697,43.71,D52,C,1,3
149,1,1,"Smith, Miss. Emma",female,61.6,1,0,A/5706,143.87,A21,S,1,2
150,1,1,"Smith, Miss. Emma",female,65.4,0,1,A/9116,112.85,C14,S,1,2
151,0,3,"Miller, Mr. George",male,37.2,0,2,A/8668,11.91,,S,0,3
152,0,3,"Williams, Mr. John",male,40.2,0,0,A/7643,21.89,,S,0,1
153,0,3,"Williams, Mr. Thomas",male,19.0,0,1,A/5374,24.17,,C,0,2
154,1,1,"Brown, Miss. Mary",female,12.0,2,2,A/6095,228.77,C57,S,1,5
155,0,1,"Williams, Mr. Thomas",male,29.7,1,1,A/9806,254.46,B41,S,1,3
156,1,3,"Taylor, Miss. Alice",female,64.3,0,0,A/9972,23.25,,S,0,1
157,1,1,"Wilson, Miss. Anna",female,34.7,1,1,A/1911,174.29,E63,S,1,3
158,0,1,"Jones, Mr. John",male,52.5,1,0,A/1742,167.45,A79,Q,1,2
159,0,3,"Wilson, Mr. John",male,35.0,0,1,A/7135,24.87,,C,0,2
160,0,3,"Taylor, Mr. James",male,13.3,1,1,A/9664,9.29,,C,0,3
161,1,3,"Wilson, Miss. Ida",female,18.1,0,0,A/5516,10.39,,C,0,1
162,1,1,"Anderson, Miss. Mary",female,34.7,1,0,A/8314,207.49,A41,C,1,2
163,1,2,"Brown, Mr. John",male,17.2,2,2,A/6224,40.99,,C,0,5
164,1,1,"Taylor, Miss. Elizabeth",female,39.4,1,0,A/7999,197.85,A54,Q,1,2
165,1,3,"Miller, Miss. Ida",female,13.7,1,1,A/4948,22.29,,C,0,3
166,0,3,"Taylor, Miss. Ida",female,10.3,0,0,A/4331,12.94,D57,S,1,1
167,0,3,"Jones, Mr. Joseph",male,61.3,0,2,A/4555,15.63,,S,0,3
168,0,3,"Brown, Mr. William",male,64.1,2,2,A/4350,14.14,,S,0,5
169,0,2,"Miller, Mr. George",male,35.3,0,1,A/6246,56.14,,S,0,2
170,0,3,"Williams, Mr. John",male,41.0,1,0,A/3497,10.53,,S,0,2
171,0,2,"Miller, Mr. George",male,50.9,2,1,A/8550,22.57,,S,0,4
172,0,3,"Taylor, Mr. John",male,6.1,2,0,A/1104,14.42,,S,0,3
173,0,3,"Taylor, Mr. Thomas",male,47.0,1,1,A/8993,7.28,,S,0,3
174,1,1,"Taylor, Miss. Minnie",female,47.5,0,0,A/2578,190.61,B34,S,1,1
175,0,2,"Davis, Mr. William",male,40.0,2,0,A/5914,45.78,,S,0,3
176,1,3,"Johnson, Miss. Ida",female,4.9,0,0,A/2354,16.0,,C,0,1
177,1,3,"Johnson, Miss. Mary",female,48.8,1,1,A/5441,7.84,C79,S,1,3
178,0,1,"Miller, Miss. Mary",female,52.9,2,1,A/2260,138.83,E40,S,1,4
179,1,3,"Taylor, Miss. Margaret",female,55.5,2,0,A/9204,20.42,,S,0,3
180,0,1,"Anderson, Mr. Joseph",male,44.8,1,1,A/4737,151.84,D65,S,1,3
181,0,3,"Anderson, Mr. George",male,6.7,0,1,A/3527,20.31,,S,0,2
182,1,1,"Miller, Mr. George",male,30.9,1,1,A/9395,163.85,A21,S,1,3
183,1,1,"Miller, Mr. Joseph",male,54.8,2,2,A/4977,201.55,B97,S,1,5
184,1,1,"Wilson, Mr. James",male,30.1,1,0,A/6916,127.89,B90,S,1,2
185,1,3,"Williams, Mr. George",male,59.1,1,0,A/8212,13.03,,C,0,2
186,0,3,"Miller, Mr. Charles",male,35.0,1,0,A/5775,20.23,,Q,0,2
187,0,3,"Jones, Mr. Joseph",male,14.8,1,0,A/1440,24.15,,C,0,2
188,0,2,"Johnson, Mr. Joseph",male,34.2,0,0,A/5139,44.64,,C,0,1
189,1,1,"Wilson, Miss. Ida",female,61.0,1,2,A/1602,251.87,C99,C,1,4
190,0,3,"Johnson, Mr. William",male,25.5,2,2,A/1725,17.14,,S,0,5
191,1,3,"Davis, Mr. William",male,36.2,1,2,A/4621,15.02,,C,0,4
192,0,3,"Miller, Mr. John",male,64.5,0,0,A/3321,13.27,,C,0,1
193,0,3,"Johnson, Mr. Thomas",male,5.6,0,0,A/1370,22.29,,S,0,1
194,1,1,"Brown, Miss. Emma",female,30.4,1,0,A/7636,214.84,B91,S,1,2
195,1,2,"Brown, Miss. Alice",female,49.6,0,0,A/2025,40.98,,S,0,1
196,0,2,"Johnson, Mr. George",male,67.6,0,2,A/7367,42.51,,S,0,3
197,0,3,"Jones, Mr. William",male,17.5,0,0,A/7116,19.48,,S,0,1
198,0,1,"Williams, Mr. Thomas",male,45.5,0,2,A/3733,182.62,B33,S,1,3
199,0,3,"Miller, Mr. John",male,35.0,1,2,A/9281,18.76,,S,0,4
200,0,3,"Williams, Mr. William",male,16.2,0,0,A/4683,16.68,,S,0,1
201,1,3,"Taylor, Miss. Anna",female,38.5,0,2,A/1681,20.68,,S,0,3
202,0,2,"Brown, Miss. Minnie",female,43.45,0,0,A/2425,34.76,,C,0,1
203,1,1,"Anderson, Miss. Margaret",female,30.5,1,0,A/4385,257.11,A82,S,1,2
204,0,2,"Miller, Mr. George",male,60.2,2,0,A/3221,58.32,,Q,0,3
205,1,3,"Williams, Miss. Emma",female,58.2,2,1,A/9019,9.56,,S,0,4
206,0,2,"Johnson, Mr. Joseph",male,65.6,0,1,A/8996,29.73,A68,S,1,2
207,1,3,"Taylor, Miss. Ida",female,15.6,0,0,A/5646,13.08,,S,0,1
208,1,3,"Smith, Mr. John",male,32.7,0,0,A/8230,15.22,,S,0,1
209,0,3,"Jones, Miss. Emma",female,7.4,0,0,A/2350,13.69,,S,0,1
210,0,2,"Brown, Mr. Joseph",male,1.1,1,0,A/3174,41.72,,S,0,2
211,0,1,"Johnson, Mr. Joseph",male,16.8,0,0,A/2690,142.07,C27,S,1,1
212,1,3,"Williams, Miss. Anna",female,37.1,2,0,A/8210,13.32,,C,0,3
213,1,3,"Wilson, Mr. Charles",male,35.0,0,2,A/7291,13.33,,C,0,3
214,0,2,"Brown, Mr. George",male,59.5,2,0,A/4366,38.3,,C,0,3
215,0,2,"Brown, Mr. Thomas",male,45.0,0,2,A/1197,59.41,,S,0,3
216,0,3,"Miller, Mr. James",male,54.2,0,2,A/2106,7.25,,Q,0,3
217,0,3,"Jones, Mr. Joseph",male,45.2,1,2,A/3501,11.99,,S,0,4
218,1,1,"Taylor, Miss. Margaret",female,58.6,2,0,A/6081,230.7,B17,S,1,3
219,0,3,"Anderson, Mr. John",male,52.1,0,0,A/3248,19.63,,Q,0,1
220,1,3,"Jones, Miss. Emma",female,61.3,2,0,A/1480,13.03,,S,0,3
221,1,2,"Johnson, Miss. Alice",female,35.5,1,0,A/7024,22.08,,C,0,2
222,1,3,"Taylor, Mr. John",male,17.9,1,0,A/7274,23.56,,Q,0,2
223,1,1,"Davis, Miss. Elizabeth",female,50.7,0,0,A/7108,97.46,A32,S,1,1
224,0,3,"Davis, Mr. William",male,54.4,0,0,A/2415,16.96,B47,S,1,1
225,0,2,"Wilson, Mr. Frank",male,54.3,0,2,A/5016,21.78,,S,0,3
226,1,3,"Smith, Mr. Frank",male,59.6,2,0,A/2703,10.69,,S,0,3
227,1,3,"Williams, Miss. Minnie",female,62.9,1,1,A/7102,15.25,,S,0,3
228,0,3,"Davis, Mr. William",male,35.0,2,0,A/4879,12.25,,Q,0,3
229,1,2,"Miller, Miss. Margaret",female,66.1,0,2,A/2785,21.99,,S,0,3
230,0,2,"Brown, Mr. Thomas",male,9.3,0,0,A/1660,24.68,,S,0,1
231,1,3,"Davis, Miss. Mary",female,69.4,0,1,A/8408,17.01,,S,0,2
232,1,1,"Johnson, Miss. Mary",female,16.3,0,1,A/7098,227.85,A84,S,1,2
233,0,3,"Johnson, Mr. Charles",male,9.9,0,0,A/1699,23.96,E65,C,1,1
234,0,2,"Davis, Mr. James",male,20.0,1,0,A/1567,42.63,,S,0,2
235,1,3,"Wilson, Miss. Mary",female,29.9,2,2,A/5082,18.35,,C,0,5
236,1,3,"Miller, Miss. Alice",female,64.0,1,0,A/7363,11.87,E38,S,1,2
237,0,3,"Wilson, Mr. Frank",male,68.2,0,0,A/4951,11.8,,Q,0,1
238,1,1,"Brown, Miss. Ida",female,59.3,0,0,A/6210,255.43,C85,S,1,1
239,1,3,"Anderson, Miss. Emma",female,37.1,1,2,A/6063,10.16,A39,S,1,4
240,0,1,"Miller, Mr. Charles",male,13.2,0,0,A/1359,103.97,B24,C,1,1
241,1,3,"Miller, Miss. Ida",female,23.3,0,1,A/8982,18.69,,Q,0,2
242,1,3,"Miller, Miss. Elizabeth",female,27.1,2,0,A/3086,10.2,E60,C,1,3
243,0,3,"Williams, Mr. Frank",male,16.2,1,0,A/9129,9.53,,S,0,2
244,0,3,"Johnson, Mr. Frank",male,18.2,0,0,A/5205,21.17,,S,0,1
245,0,2,"Williams, Mr. Joseph",male,38.7,0,1,A/4695,22.32,A47,S,1,2
246,0,2,"Miller, Mr. James",male,34.2,0,2,A/2525,30.21,,C,0,3
247,0,3,"Williams, Mr. Joseph",male,35.0,0,0,A/7705,19.55,,C,0,1
248,1,2,"Brown, Mr. William",male,58.9,0,0,A/6911,15.17,E71,S,1,1
249,0,1,"Jones, Mr. William",male,30.9,1,1,A/9013,275.82,C21,S,1,3
250,0,2,"Davis, Mr. Frank",male,34.2,1,1,A/5315,25.18,,S,0,3
251,0,3,"Johnson, Miss. Margaret",female,53.2,0,2,A/1999,22.13,,S,0,3
252,1,3,"Wilson, Miss. Elizabeth",female,37.1,2,0,A/9226,17.28,,S,0,3
253,0,3,"Wilson, Mr. James",male,35.0,0,0,A/3067,7.77,D35,Q,1,1
254,0,3,"Jones, Miss. Margaret",female,5.6,1,2,A/7510,16.94,,S,0,4
255,1,3,"Anderson, Mr. Joseph",male,35.0,1,2,A/2641,23.65,,S,0,4
256,0,2,"Miller, Mr. Joseph",male,40.5,1,0,A/3821,27.39,E97,S,1,2
257,1,1,"Miller, Miss. Elizabeth",female,19.5,0,0,A/6535,258.0,C49,S,1,1
258,1,3,"Johnson, Miss. Elizabeth",female,31.6,0,0,A/7828,17.89,D37,Q,1,1
259,0,2,"Taylor, Mr. Frank",male,12.0,0,2,A/7609,21.1,,C,0,3
260,1,1,"Brown, Mr. John",male,64.3,2,0,A/5488,154.72,D74,S,1,3
261,1,3,"Brown, Miss. Margaret",female,67.3,1,2,A/6730,13.2,,S,0,4
262,1,3,"Smith, Mr. Joseph",male,54.8,0,0,A/4688,19.2,,S,0,1
263,1,1,"Smith, Miss. Alice",female,42.5,0,0,A/5135,209.92,C92,S,1,1
264,1,3,"Wilson, Miss. Minnie",female,36.9,1,1,A/2676,7.13,,Q,0,3
265,0,3,"Anderson, Mr. George",male,35.0,0,0,A/5529,18.53,,S,0,1
266,1,3,"Jones, Miss. Elizabeth",female,63.1,1,1,A/6236,19.25,,S,0,3
267,0,3,"Davis, Mr. Joseph",male,35.0,2,2,A/4111,13.18,,S,0,5
268,0,3,"Miller, Mr. George",male,61.5,0,0,A/2599,15.47,,C,0,1
269,1,3,"Miller, Miss. Anna",female,61.1,1,0,A/7089,11.69,,C,0,2
270,1,3,"Anderson, Miss. Anna",female,37.1,0,1,A/9680,12.37,B27,Q,1,2
271,1,2,"Wilson, Miss. Emma",female,54.7,1,0,A/3897,29.1,D45,S,1,2
272,0,3,"Williams, Mr. Thomas",male,9.9,1,1,A/7609,14.72,,S,0,3
273,0,3,"Smith, Miss. Margaret",female,2.2,0,0,A/4707,19.48,,S,0,1
274,0,2,"Williams, Mr. William",male,21.1,2,2,A/9587,30.2,,Q,0,5
275,1,2,"Miller, Miss. Elizabeth",female,57.0,0,0,A/4675,47.72,A85,S,1,1
276,1,1,"Smith, Miss. Ida",female,37.9,0,2,A/1785,222.25,A16,S,1,3
277,0,2,"Taylor, Mr. George",male,34.2,2,0,A/5933,33.94,E44,S,1,3
278,0,3,"Johnson, Mr. William",male,35.3,1,0,A/5308,21.97,,S,0,2
279,0,2,"Taylor, Mr. Thomas",male,34.2,0,0,A/1208,45.22,,C,0,1
280,0,3,"Johnson, Mr. William",male,35.0,0,0,A/8483,24.8,,S,0,1
281,0,1,"Smith, Mr. George",male,30.4,0,0,A/1751,72.22,B94,S,1,1
282,0,2,"Anderson, Miss. Minnie",female,43.45,0,0,A/2865,33.03,,S,0,1
283,1,2,"Davis, Miss. Emma",female,5.0,0,0,A/7816,56.01,,S,0,1
284,0,2,"Miller, Mr. John",male,51.2,0,1,A/8997,20.08,,S,0,2
285,0,2,"Taylor, Mr. Charles",male,24.3,1,2,A/2560,34.48,,S,0,4
286,1,3,"Williams, Mr. John",male,35.9,1,1,A/3709,8.35,,S,0,3
287,0,3,"Brown, Mr. Joseph",male,32.7,1,1,A/2442,22.42,,S,0,3
288,1,3,"Johnson, Miss. Ida",female,1.0,0,2,A/5990,23.02,,S,0,3
289,0,3,"Smith, Mr. Charles",male,54.0,1,1,A/6952,19.89,B10,S,1,3
290,0,3,"Jones, Miss. Margaret",female,37.1,0,1,A/3301,21.79,,S,0,2
291,0,2,"Johnson, Mr. Joseph",male,14.1,0,0,A/7790,17.09,,S,0,1
292,0,1,"Wilson, Miss. Emma",female,34.7,2,0,A/8091,262.93,D75,C,1,3
293,1,3,"Williams, Miss. Emma",female,42.8,0,2,A/7302,14.54,,S,0,3
294,0,2,"Miller, Mr. George",male,34.2,1,2,A/9393,28.45,,C,0,4
295,1,3,"Brown, Miss. Elizabeth",female,48.4,2,0,A/3913,16.07,,S,0,3
296,0,1,"Wilson, Mr. Joseph",male,37.8,1,0,A/9564,94.49,D28,S,1,2
297,0,1,"Williams, Mr. George",male,30.9,0,0,A/4342,243.33,A55,C,1,1
298,1,1,"Taylor, Miss. Elizabeth",female,17.4,2,0,A/1769,283.09,D63,Q,1,3
299,1,3,"Taylor, Mr. John",male,43.8,1,0,A/7025,20.59,,S,0,2
300,1,3,"Jones, Miss. Alice",female,13.9,0,2,A/2955,13.79,,S,0,3
301,1,1,"Jones, Mr. John",male,11.7,0,0,A/1833,247.94,E94,S,1,1
